department,rating,rating_count
Customer Support,1,4
Customer Support,2,9
Customer Support,3,16
Customer Support,4,32
Customer Support,5,24
Engineering,1,7
Engineering,2,10
Engineering,3,32
Engineering,4,57
Engineering,5,42
Finance,1,5
Finance,2,17
Finance,3,52
Finance,4,83
Finance,5,48
HR,1,2
HR,2,11
HR,3,15
HR,4,20
HR,5,20
Marketing,1,1
Marketing,2,6
Marketing,3,12
Marketing,4,18
Marketing,5,14
Product,1,4
Product,2,2
Product,3,10
Product,4,25
Product,5,18
Sales,1,4
Sales,2,13
Sales,3,25
Sales,4,43
Sales,5,30
Talent Acquisition,1,4
Talent Acquisition,2,4
Talent Acquisition,3,12
Talent Acquisition,4,27
Talent Acquisition,5,24
Unknown,4,1
Unknown,5,1
